task start end duration memory size
1.947 1493278240777 1493278516057 275280 128 10
1.9013 1493278240847 1493278273407 32560 128 10
1.863 1493278240777 1493278276378 35601 128 10
1.1789 1493278240841 1493278299161 58320 128 10
1.8574 1493278240777 1493278277280 36503 128 10
1.8386 1493278240781 1493278290802 50021 128 10
1.9712 1493278240779 1493278271877 31098 128 10
1.8634 1493278240779 1493278289477 48698 128 10
1.9679 1493278241227 1493278277647 36420 128 10
1.8637 1493278240778 1493278276542 35764 128 10
1.1309 1493272828414 1493272925313 96899 128 20
1.6443 1493272829567 1493272876933 47366 128 20
1.2871 1493273068561 1493273263737 195176 128 20
1.0459 1493272948401 1493272995317 46916 128 20
1.2587 1493273068614 1493273176313 107699 128 20
1.9595 1493272830470 1493272871953 41483 128 20
1.9009 1493272830324 1493272867551 37227 128 20
1.1625 1493272828359 1493272879437 51078 128 20
1.7049 1493272829582 1493272927073 97491 128 20
1.1707 1493272948494 1493272993453 44959 128 20
1.9842 1493272830497 1493272866610 36113 128 20
1.0938 1493272828381 1493272934657 106276 128 20
1.9666 1493272830493 1493272857145 26652 128 20
1.6184 1493237465153 1493237522613 57460 128 20
1.1706 1493272948593 1493272993294 44701 128 20
1.1545 1493272828322 1493272877817 49495 128 20
1.2987 1493272828434 1493272885814 57380 128 20
1.073 1493272828266 1493272878037 49771 128 20
1.0144 1493272828415 1493272917934 89519 128 20
1.6219 1493272829575 1493272872933 43358 128 20
1.97 1493273243357 1493273520896 277539 128 30
1.8612 1493273243485 1493273279568 36083 128 30
1.8801 1493273243654 1493273287190 43536 128 30
1.9707 1493237651047 1493237671164 20117 128 30
1.0798 1493273242831 1493273331570 88739 128 30
1.8638 1493273242792 1493273269329 26537 128 30
1.8615 1493273242795 1493273277513 34718 128 30
1.8585 1493273246138 1493273274998 28860 128 30
1.8589 1493273243651 1493273278071 34420 128 30
1.4605 1493273242746 1493273281257 38511 128 30
1.123 1493273242817 1493273351273 108456 128 30
2.3701 1493273362934 1493273405373 42439 128 30
1.9712 1493273243501 1493273284042 40541 128 30
1.858 1493273245962 1493273291400 45438 128 30
1.0797 1493273242850 1493273332230 89380 128 30
1.0661 1493273242810 1493273331870 89060 128 30
1.9731 1493273362893 1493273478711 115818 128 30
1.3435 1493273242797 1493273274097 31300 128 30
1.6753 1493273243482 1493273527060 283578 128 30
1.0592 1493273243153 1493273317873 74720 128 30
1.8836 1493273242733 1493273301414 58681 128 30
1.0798 1493273242832 1493273331710 88878 128 30
1.9709 1493273243035 1493273276818 33783 128 30
1.9686 1493273242734 1493273309573 66839 128 30
2.3681 1493273243342 1493273321016 77674 128 30
1.0797 1493273242834 1493273327597 84763 128 30
1.8605 1493273362915 1493273405372 42457 128 30
1.97 1493273246140 1493273295958 49818 128 30
1.1371 1493273242717 1493273294852 52135 128 30
1.123 1493273243643 1493273332053 88410 128 30
2.3595 1493273480376 1493273510493 30117 128 40
1.4605 1493273481009 1493273571280 90271 128 40
1.8825 1493273480383 1493273503421 23038 128 40
1.9295 1493273480373 1493273513773 33400 128 40
1.9699 1493273480377 1493273509997 29620 128 40
1.9217 1493273480421 1493273566499 86078 128 40
1.9266 1493273480401 1493273504497 24096 128 40
1.4556 1493273480829 1493273523500 42671 128 40
1.5953 1493273480493 1493273520789 40296 128 40
1.8679 1493273481043 1493273586363 105320 128 40
1.0723 1493273480388 1493273575232 94844 128 40
1.8606 1493273600552 1493273714732 114180 128 40
1.123 1493273480370 1493273571153 90783 128 40
1.1231 1493273480376 1493273598993 118617 128 40
0.7852 1493273720749 1493273816752 96003 128 40
1.9622 1493273481144 1493273530843 49699 128 40
1.0728 1493273480393 1493273546770 66377 128 40
1.0588 1493273480481 1493273574793 94312 128 40
1.0415 1493273840888 1493273874452 33564 128 40
1.8636 1493273840956 1493274055232 214276 128 40
1.8521 1493273483934 1493273579534 95600 128 40
1.8388 1493273480420 1493273523840 43420 128 40
1.879 1493273480477 1493273507330 26853 128 40
1.8575 1493273480539 1493273516140 35601 128 40
1.0655 1493273480497 1493273566533 86036 128 40
1.8748 1493273481144 1493273541864 60720 128 40
1.0721 1493273480377 1493273539012 58635 128 40
1.995 1493273480400 1493273721497 241097 128 40
2.0177 1493273484690 1493273547151 62461 128 40
1.8549 1493273480469 1493273547709 67240 128 40
1.4066 1493273481542 1493273670542 189000 128 40
1.4062 1493273481528 1493273515783 34255 128 40
1.4949 1493273481041 1493273589176 108135 128 40
2.2121 1493273480436 1493273513495 33059 128 40
1.2042 1493273481407 1493273558698 77291 128 40
1.9703 1493273844699 1493273975919 131220 128 40
1.4633 1493273480429 1493273511269 30840 128 40
1.9255 1493273480495 1493273504975 24480 128 40
1.0729 1493273480551 1493273536878 56327 128 40
2.3668 1493273480374 1493273510873 30499 128 40
2.3985 1493273962923 1493274182623 219700 128 50
1.1539 1493273963571 1493274024933 61362 128 50
1.8809 1493273962160 1493273999700 37540 128 50
1.86 1493274323318 1493274396138 72820 128 50
1.8596 1493273962156 1493273995833 33677 128 50
1.9426 1493273962166 1493274005118 42952 128 50
1.883 1493273962200 1493273990919 28719 128 50
