task start end duration memory size
14.6233 1494285993425 1494286023508 30083 128 10
14.8159 1494286058017 1494286083739 25722 128 10
14.0268 1494286029492 1494286056139 26647 128 10
15.353 1494286087294 1494286112441 25147 128 10
14.2136 1494285994485 1494286025709 31224 128 10
14.7162 1494286059656 1494286084794 25138 128 10
14.6698 1494286028317 1494286054628 26311 128 10
14.5141 1494285995092 1494286024313 29221 128 10
14.931 1494286115796 1494286141016 25220 128 10
14.8879 1494286003626 1494286037508 33882 128 10
14.9849 1494286145937 1494286172526 26589 128 20
14.578 1494286261564 1494286287543 25979 128 20
14.0995 1494286148093 1494286176239 28146 128 20
15.2039 1494286222586 1494286247602 25016 128 20
14.3023 1494286177989 1494286207128 29139 128 20
14.78 1494286191203 1494286218951 27748 128 20
15.1478 1494286202141 1494286228241 26100 128 20
15.055 1494286212165 1494286238023 25858 128 20
13.6175 1494286167212 1494286197154 29942 128 20
14.8823 1494286273120 1494286299137 26017 128 20
15.1917 1494286189688 1494286215625 25937 128 20
15.4872 1494286232122 1494286257604 25482 128 20
15.242 1494286192480 1494286219143 26663 128 20
15.1667 1494286213270 1494286239124 25854 128 20
13.9082 1494286147105 1494286174954 27849 128 20
13.9279 1494286156474 1494286184503 28029 128 20
14.1673 1494286180326 1494286208920 28594 128 20
13.1381 1494286158387 1494286186821 28434 128 20
14.9807 1494286242988 1494286268710 25722 128 20
13.9508 1494286157714 1494286185517 27803 128 20
13.8186 1494286338130 1494286367345 29215 128 30
13.0505 1494286305225 1494286333643 28418 128 30
14.0223 1494286348060 1494286376229 28169 128 30
15.3448 1494286404014 1494286429437 25423 128 30
13.6668 1494286327133 1494286357000 29867 128 30
14.3571 1494286362454 1494286389992 27538 128 30
15.441 1494286415306 1494286440427 25121 128 30
15.7827 1494286433409 1494286457900 24491 128 30
15.3414 1494286430272 1494286455605 25333 128 30
15.2044 1494286401447 1494286426952 25505 128 30
13.9984 1494286360102 1494286387589 27487 128 30
14.6203 1494286372613 1494286399154 26541 128 30
14.1762 1494286336880 1494286365704 28824 128 30
14.0766 1494286338728 1494286366908 28180 128 30
13.9124 1494286350492 1494286378830 28338 128 30
14.6613 1494286380766 1494286406958 26192 128 30
14.6697 1494286371845 1494286398991 27146 128 30
15.7293 1494286443816 1494286469122 25306 128 30
14.7356 1494286385091 1494286411990 26899 128 30
14.9018 1494286370706 1494286397351 26645 128 30
15.0115 1494286392369 1494286418717 26348 128 30
14.1258 1494286351804 1494286380694 28890 128 30
13.6195 1494286306452 1494286333960 27508 128 30
14.2003 1494286361448 1494286388756 27308 128 30
13.642 1494286315735 1494286343895 28160 128 30
13.9959 1494286305600 1494286332714 27114 128 30
13.9812 1494286328228 1494286356713 28485 128 30
13.397 1494286325914 1494286355052 29138 128 30
13.2717 1494286316906 1494286346132 29226 128 30
13.6401 1494286318024 1494286347038 29014 128 30
