date,provider,memory,lifetime
"2017-09-20T13:30:24.737010764Z","google","1024",83660.207756115
"2017-09-20T02:18:53.9861271Z","google","128",42649.197154266
"2017-09-20T13:30:49.047782571Z","google","2048",76803.884407316
"2017-09-20T13:26:33.854584798Z","google","256",83436.897996622
"2017-09-20T13:30:14.728153907Z","google","512",83665.047209181
"2017-11-07T16:27:35.134611118Z","bluemix","128",1501.538106647
"2018-02-28T21:20:32.387123471Z","bluemix","512",22.713730189
"2018-03-07T05:22:25.941138208Z","bluemix","128",13.359725681
"2018-02-24T07:25:32.930760554Z","bluemix","256",5.319036162
"2017-11-25T07:37:38.240813379Z","bluemix","128",3307.902468227
"2017-11-18T21:22:40.070416596Z","bluemix","128",5.589757658
"2018-01-26T14:37:35.554528992Z","bluemix","128",5.55107542
"2018-02-28T18:36:14.683582398Z","bluemix","256",22.793677351
"2018-02-26T14:02:42.991054963Z","bluemix","128",6.780250841
"2018-02-28T21:11:02.234548211Z","bluemix","256",22.389457319
"2018-01-26T14:17:32.515619806Z","bluemix","128",302.32954812
"2017-10-30T08:32:42.209271644Z","bluemix","128",6907.701114879
"2018-01-14T01:49:19.639062806Z","google","128",22877.788786584
"2017-10-24T21:47:44.578330854Z","bluemix","128",5.147683286
"2017-09-20T22:09:50.412491695Z","google","512",5.646801585
"2017-11-23T18:17:37.463906613Z","bluemix","128",5.6849015739999995
"2017-10-24T20:12:54.453649Z","bluemix","128",3618.052222948
"2018-02-08T16:35:14.695590251Z","bluemix","512",5.297260121
"2018-01-29T03:40:14.355285005Z","bluemix","512",5.322833862
"2018-03-05T02:30:18.431867008Z","bluemix","512",10.419545525
"2018-02-28T11:20:33.256858354Z","bluemix","512",23.730554477
"2017-10-09T03:35:40.950517374Z","bluemix","256",9902.65735249
"2018-02-08T09:55:13.033898807Z","bluemix","512",304.831208988
"2017-11-25T03:17:36.143473988Z","bluemix","128",5.902400233
"2017-12-12T14:55:41.326221186Z","bluemix","256",6003.661621959
"2018-02-28T15:25:55.330719319Z","bluemix","256",22.704227191
"2018-03-05T06:56:08.900468666Z","bluemix","256",15.684711011
"2018-02-12T01:22:31.406116735Z","bluemix","128",306.541314075
"2017-09-30T01:40:12.376592124Z","bluemix","512",5.708336451
"2018-01-12T11:30:12.238323533Z","bluemix","512",25504.427672372
"2017-12-01T07:43:55.344940454Z","google","128",637.5487925
"2017-11-10T23:00:11.970460926Z","bluemix","512",5.1149124950000004
"2018-02-27T04:35:11.836129695Z","bluemix","512",4805.23835323
"2017-10-06T11:05:44.06844603Z","bluemix","256",53203.708999062
"2018-01-22T22:55:26.946970929Z","google","1024",3611.014752176
"2018-01-18T01:50:15.61790825Z","google","512",17793.185977779
"2018-01-14T01:55:47.569638852Z","google","2048",5.263078113
"2018-03-10T04:32:20.711316791Z","bluemix","128",6.595111694
"2017-12-13T19:10:11.341814532Z","google","512",1216.020191033
"2017-10-08T05:43:37.506443121Z","google","128",16531.299235732
"2017-09-21T04:24:11.358796547Z","google","512",4.913519511
"2017-10-30T05:25:28.97654406Z","bluemix","512",614.995335345
"2018-01-23T08:23:58.790534332Z","google","512",1172.499870237
"2018-02-28T16:45:23.322939434Z","bluemix","512",15.319448313
"2017-10-14T13:33:48.338658209Z","google","128",16243.692854464
"2018-02-17T10:56:19.638866622Z","google","256",576436.206088662
"2018-02-12T02:52:29.514148502Z","bluemix","128",5.768587733
"2018-02-26T14:50:38.657887679Z","bluemix","512",28.893816419
"2017-12-13T18:44:55.688960326Z","google","512",5.825315376
"2018-02-06T17:25:14.760638782Z","bluemix","512",5.847593142
"2018-02-16T16:47:22.528587191Z","bluemix","128",8.274346745999999
"2018-03-07T10:35:11.063730521Z","bluemix","512",2704.590453713
"2018-03-05T06:30:45.025828291Z","bluemix","512",33.175135535
"2017-10-29T06:50:12.655023723Z","bluemix","512",5.091495606
"2018-03-02T16:00:12.364430662Z","bluemix","512",19204.846516952
"2017-09-21T01:24:05.981445246Z","google","512",5.130342031
"2017-12-20T22:20:49.13884879Z","google","2048",10803.159367733
"2017-09-21T03:19:08.271429291Z","google","512",5.228646622
"2017-10-18T23:30:16.038043593Z","bluemix","512",8.469963056
"2018-01-25T21:02:38.414502144Z","bluemix","128",1206.920695153
"2017-09-26T22:09:51.219142667Z","google","512",4.655770726
"2017-09-21T04:14:43.977535613Z","google","512",5.098390398
"2018-01-11T23:35:12.314946891Z","bluemix","512",1205.538790545
"2018-02-05T01:15:13.657084428Z","bluemix","512",5.203250065
"2017-11-02T17:32:41.119333693Z","bluemix","128",608.098806736
"2018-01-26T15:35:43.875852402Z","bluemix","256",1504.526484656
"2018-02-19T19:15:35.443454869Z","bluemix","256",6.7327728350000005
"2017-11-10T19:10:17.435633846Z","bluemix","512",9.294045357
"2017-11-11T01:45:10.945362597Z","bluemix","512",302.829893393
"2018-02-26T03:50:14.923716639Z","bluemix","512",7.386642588
"2018-02-08T18:15:12.010174104Z","bluemix","512",603.149993591
"2017-09-21T17:38:04.091181157Z","google","128",4.300509997
"2017-11-13T18:52:33.113405173Z","bluemix","128",2710.387165468
"2018-03-07T09:10:11.295112503Z","bluemix","512",9303.389808331
"2017-12-14T17:48:41.7629234Z","google","128",16831.533254247
"2018-01-11T21:05:13.293629625Z","bluemix","512",1206.145414998
"2018-02-05T02:15:15.27689359Z","bluemix","512",5.422975794
"2018-03-05T02:20:14.945411632Z","bluemix","512",7.141254449
"2018-02-05T08:10:15.564961056Z","bluemix","512",6.438095826
"2017-09-20T18:49:55.135100981Z","google","512",5.162697406
"2017-12-11T01:10:12.796776129Z","bluemix","512",5.571894081
"2018-01-29T02:12:43.337988417Z","bluemix","128",5.423113241
"2017-12-08T16:00:42.532992394Z","bluemix","256",18003.943593899
"2018-02-26T13:11:30.540070516Z","bluemix","256",29.305624679
"2018-01-23T08:36:08.466854009Z","google","256",6.453413246
"2018-03-05T06:15:34.376982586Z","bluemix","512",25.518780747
"2017-09-21T01:29:54.949042787Z","google","512",5.381701052
"2017-11-10T23:33:56.91210607Z","google","128",17750.282927565
"2018-02-27T12:52:18.969687128Z","bluemix","128",2999.923539984
"2018-01-16T21:14:17.057043625Z","google","512",327.628546613
"2018-02-08T03:45:14.927519353Z","bluemix","512",6.381821294
"2018-03-07T16:45:41.19512052Z","google","2048",604.444004924
"2018-02-28T16:38:16.184511787Z","bluemix","128",21.522727559
"2018-01-18T20:30:12.42582049Z","bluemix","512",905.224635771
"2018-02-03T22:18:55.576954071Z","google","128",15949.354674291
"2017-11-12T17:55:12.592829496Z","bluemix","512",5.435649649
"2018-02-20T20:10:38.752012526Z","bluemix","256",5.257706236
"2018-02-26T13:55:41.0593891Z","bluemix","512",26.489310986
"2017-09-20T21:49:52.820056067Z","google","512",5.444647214
